City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
515,Puerto Madero,MX,83.75,light rain,14.72,-92.42,Hotel La Central
518,Malakal,SS,77.94,clear sky,9.53,31.66,Nile Palace Hotel
519,Manadhoo,MV,82.35,clear sky,5.77,73.38,Vevu Guesthouse
521,Road Town,VG,82.4,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
523,The Valley,AI,80.6,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
525,Dakar,SN,78.8,clear sky,14.69,-17.44,Novotel Dakar
529,Hobyo,SO,79.39,few clouds,5.35,48.53,Osmani Hotel
532,Rincon,US,82.4,scattered clouds,32.3,-81.24,Bent tree subdivision
533,Mucurapo,TT,82.99,shower rain,10.67,-61.53,Courtyard by Marriott Port of Spain
534,Marawi,PH,75.0,light rain,8.0,124.29,Derogongan Residence
537,Porto Novo,BJ,80.6,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
538,Sri Aman,MY,75.2,overcast clouds,1.24,111.46,Seri Simanggang Hotel
540,Mabaruma,GY,81.63,few clouds,8.2,-59.78,
545,Marsh Harbour,BS,81.93,clear sky,26.54,-77.06,Abaco Beach Resort
548,Minbu,MM,76.66,moderate rain,20.18,94.88,Kaung Thar Guest House - Burmese Only
550,Tirumullaivasal,IN,79.36,clear sky,11.23,79.83,"MATHAMPATTINAM, MODUNUTTI GROUP"
554,Kandiari,PK,76.19,clear sky,26.92,68.52,Birohi Tailors
557,Mundo Nuevo,MX,80.53,broken clouds,18.7,-95.5,
559,Namatanai,PG,81.66,broken clouds,-3.67,152.43,Namatanai Hotel
560,Port Hueneme,US,82.4,smoke,34.15,-119.2,Hampton Inn Channel Islands Harbor
563,Labuhan,ID,77.95,overcast clouds,-6.88,112.21,bador sepret
564,Kutum,SD,76.39,clear sky,14.2,24.67,Dibbo areaمنطقة دبو
566,Labuan,MY,77.0,few clouds,5.28,115.24,Tiara Labuan Hotel
567,Santa Ines,BR,84.36,broken clouds,-3.67,-45.38,HOTEL TOP
571,Manavalakurichi,IN,80.6,mist,8.13,77.3,Udaya Boys Hostel
574,Kudahuvadhoo,MV,81.97,scattered clouds,2.67,72.89,Kudahuvadhoo Retreat
575,Menongue,AO,80.71,overcast clouds,-14.66,17.69,Ritz Lauca
579,Vung Tau,VN,78.89,light rain,10.35,107.08,Seaside Resort
581,Bhuj,IN,76.87,clear sky,23.27,69.67,Regenta Resort Bhuj
582,Harper,LR,78.21,light rain,4.38,-7.72,Screensaver
590,Iralaya,HN,83.17,overcast clouds,15.0,-83.23,Iglesia morava renovada
593,Oranjestad,AW,86.0,scattered clouds,12.52,-70.03,Divi Village Golf & Beach Resort
596,Keti Bandar,PK,78.51,clear sky,24.14,67.45,Haji laloo memon house
597,Barra Dos Coqueiros,BR,80.6,scattered clouds,-10.91,-37.04,Quality Hotel Aracaju
598,Caranavi,BO,77.36,broken clouds,-15.82,-67.55,Hotel Landivar
600,Morro Bay,US,75.99,clear sky,35.37,-120.85,Inn at Morro Bay
603,Camocim,BR,79.9,broken clouds,-2.9,-40.84,Hotel Ilha do Amor
606,Grajau,BR,83.66,light rain,-5.82,-46.14,Hotel Confiança
610,Kieta,PG,82.13,clear sky,-6.22,155.63,
615,Kaura Namoda,NG,78.12,clear sky,12.59,6.58,Moonlight Hotel
616,Lake Charles,US,81.0,overcast clouds,30.21,-93.2,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
632,Beira,MZ,75.2,scattered clouds,-19.84,34.84,Beira Terrace Hotel
635,Mangalam,IN,80.19,clear sky,9.77,78.67,Boys Hostel
637,Dhidhdhoo,MV,82.17,broken clouds,6.88,73.1,Dhidhoo beach
643,Pangai,TO,77.0,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
646,Gualaquiza,EC,77.79,moderate rain,-3.4,-78.55,Hotel Merceditas
647,Davila,PH,78.8,overcast clouds,18.47,120.58,SITIO 3 DAVILA PASUQUIN
650,Natal,BR,80.6,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
652,Cabedelo,BR,78.8,few clouds,-6.98,-34.83,Lua Mansa Pousada
653,Barranca De Upia,CO,85.35,moderate rain,4.57,-72.97,HOTEL GUAICARAMO
654,Micheweni,TZ,78.28,light rain,-4.97,39.83,
655,San Pedro,PH,80.01,scattered clouds,14.35,121.02,OYO 412 Viewfort Venue
658,Olinda,BR,80.6,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
662,Bougouni,ML,76.64,overcast clouds,11.42,-7.48,Non Stop
665,Pacifica,US,75.2,few clouds,37.61,-122.49,"Pacifica Lighthouse, Trademark Collection by Wyndham"
